interaction_id,customer_id,campaign_id,interaction_date,clicked,converted,revenue_generated
INT_00001,CUST_0086,CAMP_003,2025-09-10,0,1,245.05
INT_00002,CUST_0356,CAMP_005,2025-03-13,0,0,394.48
INT_00003,CUST_0154,CAMP_010,2025-10-19,0,0,342.68
INT_00004,CUST_0463,CAMP_010,2024-10-09,0,0,278.95
INT_00005,CUST_0015,CAMP_002,2025-07-20,1,0,217.71
INT_00006,CUST_0024,CAMP_003,2025-10-21,0,0,174.09
INT_00007,CUST_0167,CAMP_006,2024-09-30,0,0,12.65
INT_00008,CUST_0408,CAMP_002,2025-08-11,0,0,182.84
INT_00009,CUST_0029,CAMP_004,2025-08-03,0,1,233.04
INT_00010,CUST_0151,CAMP_005,2025-05-31,1,0,335.02
INT_00011,CUST_0184,CAMP_002,2025-10-27,0,1,364.25
INT_00012,CUST_0192,CAMP_003,2024-09-25,1,0,106.89
INT_00013,CUST_0221,CAMP_006,2026-03-12,0,0,279.9
INT_00014,CUST_0075,CAMP_003,2024-06-08,1,0,498.95
INT_00015,CUST_0126,CAMP_009,2025-07-27,1,0,469.7
INT_00016,CUST_0272,CAMP_007,2025-06-08,0,0,191.23
INT_00017,CUST_0211,CAMP_007,2025-06-21,1,1,89.5
INT_00018,CUST_0290,CAMP_010,2026-04-26,1,0,373.81
INT_00019,CUST_0350,CAMP_003,2025-09-17,1,0,5.34
INT_00020,CUST_0406,CAMP_010,2025-03-01,0,0,221.04
INT_00021,CUST_0093,CAMP_007,2025-04-13,0,0,263.0
INT_00022,CUST_0088,CAMP_007,2025-01-28,0,1,2.81
INT_00023,CUST_0090,CAMP_003,2025-12-24,0,0,155.2
INT_00024,CUST_0041,CAMP_008,2025-02-12,0,0,47.05
INT_00025,CUST_0313,CAMP_009,2026-03-05,1,0,184.43
INT_00026,CUST_0446,CAMP_003,2025-05-05,0,1,126.88
INT_00027,CUST_0196,CAMP_009,2026-03-22,1,1,460.78
INT_00028,CUST_0318,CAMP_003,2026-05-31,1,0,303.39
INT_00029,CUST_0350,CAMP_008,2025-03-17,0,0,16.76
INT_00030,CUST_0124,CAMP_005,2024-12-18,0,0,137.48
INT_00031,CUST_0255,CAMP_003,2026-01-13,0,0,239.37
INT_00032,CUST_0468,CAMP_003,2025-10-02,0,0,21.96
INT_00033,CUST_0299,CAMP_006,2025-07-29,0,0,347.75
INT_00034,CUST_0074,CAMP_008,2025-10-09,1,0,126.52
INT_00035,CUST_0119,CAMP_010,2025-01-15,1,1,312.64
INT_00036,CUST_0237,CAMP_001,2024-08-25,1,0,485.57
INT_00037,CUST_0327,CAMP_006,2025-06-29,1,0,411.66
INT_00038,CUST_0131,CAMP_001,2026-05-11,0,0,431.59
INT_00039,CUST_0236,CAMP_008,2026-04-15,1,0,463.79
INT_00040,CUST_0131,CAMP_003,2024-10-19,1,0,498.62
INT_00041,CUST_0342,CAMP_004,2026-03-21,0,1,316.12
INT_00042,CUST_0005,CAMP_007,2024-11-21,1,0,245.15
INT_00043,CUST_0461,CAMP_009,2025-10-31,1,0,236.72
INT_00044,CUST_0412,CAMP_009,2025-10-03,1,0,437.47
INT_00045,CUST_0239,CAMP_008,2026-02-26,0,1,375.29
INT_00046,CUST_0462,CAMP_007,2026-04-01,0,0,403.72
INT_00047,CUST_0148,CAMP_008,2025-12-02,1,0,19.1
INT_00048,CUST_0347,CAMP_007,2025-09-20,1,0,14.42
INT_00049,CUST_0280,CAMP_008,2025-04-17,0,1,447.13
INT_00050,CUST_0081,CAMP_008,2025-06-07,0,0,76.6
INT_00051,CUST_0038,CAMP_003,2025-11-07,1,0,368.1
INT_00052,CUST_0227,CAMP_002,2025-01-25,0,0,435.46
INT_00053,CUST_0484,CAMP_010,2025-07-10,1,0,65.82
INT_00054,CUST_0177,CAMP_001,2026-02-25,0,0,209.79
INT_00055,CUST_0301,CAMP_004,2024-09-01,0,1,422.9
INT_00056,CUST_0154,CAMP_005,2025-01-09,1,0,28.02
INT_00057,CUST_0328,CAMP_001,2025-05-14,1,0,318.74
INT_00058,CUST_0493,CAMP_005,2025-02-25,1,0,31.16
INT_00059,CUST_0218,CAMP_004,2024-10-16,1,0,48.74
INT_00060,CUST_0354,CAMP_009,2025-02-28,1,0,272.04
INT_00061,CUST_0129,CAMP_005,2025-06-26,1,0,491.7
INT_00062,CUST_0234,CAMP_003,2024-09-05,0,0,97.09
INT_00063,CUST_0433,CAMP_008,2024-12-28,1,0,307.0
INT_00064,CUST_0155,CAMP_010,2024-12-16,1,0,8.34
INT_00065,CUST_0102,CAMP_008,2025-01-06,0,0,418.64
INT_00066,CUST_0197,CAMP_009,2026-04-29,0,1,424.12
INT_00067,CUST_0437,CAMP_009,2025-04-07,1,0,158.24
INT_00068,CUST_0248,CAMP_002,2024-07-17,1,0,354.65
INT_00069,CUST_0055,CAMP_010,2025-03-10,0,1,452.86
INT_00070,CUST_0122,CAMP_002,2024-11-17,0,0,293.42
INT_00071,CUST_0196,CAMP_005,2024-12-11,0,0,472.15
INT_00072,CUST_0293,CAMP_009,2024-12-09,0,1,258.17
INT_00073,CUST_0184,CAMP_006,2025-07-16,1,0,470.27
INT_00074,CUST_0295,CAMP_009,2024-10-25,1,0,201.59
INT_00075,CUST_0152,CAMP_001,2025-04-23,1,0,418.86
INT_00076,CUST_0359,CAMP_008,2025-12-07,1,0,334.82
INT_00077,CUST_0152,CAMP_009,2025-09-11,0,0,32.48
INT_00078,CUST_0012,CAMP_004,2025-09-12,0,0,412.52
INT_00079,CUST_0425,CAMP_007,2026-03-29,1,0,250.76
INT_00080,CUST_0338,CAMP_002,2024-09-22,0,0,364.48
INT_00081,CUST_0203,CAMP_004,2024-09-20,1,0,41.98
INT_00082,CUST_0141,CAMP_005,2025-01-31,0,0,221.7
INT_00083,CUST_0005,CAMP_001,2024-11-06,1,0,137.76
INT_00084,CUST_0290,CAMP_008,2025-10-01,1,1,99.34
INT_00085,CUST_0443,CAMP_005,2024-09-18,0,1,252.73
INT_00086,CUST_0352,CAMP_006,2026-03-02,0,0,86.48
