month,total_interactions,total_conversions,monthly_revenue
2024-05,5,1,850.69
2024-06,118,39,30726.32
2024-07,126,37,30804.93
2024-08,122,28,29220.1
2024-09,141,37,35864.99
2024-10,110,34,26803.93
2024-11,114,30,30338.95
2024-12,123,30,30796.85
2025-01,119,30,28760.24
2025-02,121,34,31466.67
2025-03,150,33,37233.06
2025-04,119,33,29061.9
2025-05,121,25,29561.26
2025-06,100,30,23818.47
2025-07,125,26,31107.97
2025-08,133,27,34729.82
2025-09,140,42,36284.37
2025-10,139,31,34386.41
2025-11,114,23,27569.02
2025-12,153,37,36883.24
2026-01,132,36,34574.86
2026-02,111,28,28223.59
2026-03,106,25,26972.75
2026-04,132,23,35770.72
2026-05,126,35,32891.4
